company,trust_score,reviews_number,location,keywords,Id_reviews,title_reviews,reviews,score_reviews,published_date
Ouwayss,"4,9",100.0,,"Miellerie, ·, Magasin de produits capillaires, ·, Parfumerie, ·, Boutique de santé et beauté",Cira,Bien,Gogeta est un très bon parfum mais j’aurais aimé que la fragrance ça dure encore plus longtemps sur la personne. L’odeur est très très agréable et subtile. Le vendeur au top top très à l’écoute du client 👌,4,2025-05-21T22:50:29.000Z
Ouwayss,"4,9",100.0,,"Miellerie, ·, Magasin de produits capillaires, ·, Parfumerie, ·, Boutique de santé et beauté",Kad,Abstinence/Hulk ✨,"J’ai reçu la parfum Abstinence, et ce fut une véritable révélation : les notes sont raffinées, bien équilibrées, avec une excellente tenue. Il dégage une élégance discrète mais marquante, exactement ce que je cherchais.J’en ai aussi profité pour prendre le Hulk pour mon père… et il a très bien aimé ! Lui qui est assez difficile en parfums a tout de suite accroché.En plus, le service est impeccable : envoi rapide, emballage soigné, et une vraie attention portée au client.Une superbe expérience, que je recommande les yeux fermés !",5,2025-05-16T15:40:59.000Z
Ouwayss,"4,9",100.0,,"Miellerie, ·, Magasin de produits capillaires, ·, Parfumerie, ·, Boutique de santé et beauté",Aïcha Diaby,Pépites !,"Vendeur au top, passionné par ce qu’il propose! Il vous décrit chaque parfum avec précision, en allant jusqu’à détailler les notes olfactives pour mieux nous faire voyager.J’ai commandé SUKKAR et j’ai aussi reçu Sunshine lors d’une offre en cours et franchement les deux sentent très très bon surtout SUKKAR..Incroyable. 💯Expédition rapide, parfums bien emballés et protégés.",5,2025-05-13T16:38:40.000Z
Domaine GUETH - Vins d'Alsace et Oenotourisme,"4,8",184.0,"GUEBERSCHWIHR, France",Vignoble,alain,pas de pb,pas de pb; bon delais; bien emballé,5,2025-05-22T10:54:07.000Z
Domaine GUETH - Vins d'Alsace et Oenotourisme,"4,8",184.0,"GUEBERSCHWIHR, France",Vignoble,Janet Hoskyns,Tout a été bien,Tout a ete bien depuis le debut.  Nous avons fait une commande entre amis et l’entreprise nous a envoyer un liste des tarifs a partager.  Tout nos questions ont ete bien répondu sans problème.,5,2025-05-07T14:24:36.000Z
Domaine GUETH - Vins d'Alsace et Oenotourisme,"4,8",184.0,"GUEBERSCHWIHR, France",Vignoble,Levionnais Christian,Bien,Satisfaite,5,2025-05-03T12:58:04.000Z
Domaine GUETH - Vins d'Alsace et Oenotourisme,"4,8",184.0,"GUEBERSCHWIHR, France",Vignoble,LB,Très très bon vin blanc,..........,5,2025-04-16T22:41:26.000Z
Domaine GUETH - Vins d'Alsace et Oenotourisme,"4,8",184.0,"GUEBERSCHWIHR, France",Vignoble,Camille C.,Parfait,Commande réceptionnée très rapidement en parfait état et parfaitement conditionnée.,5,2025-04-14T08:53:33.000Z
Cagette.net,"4,8",137.0,"Bordeaux, France",Marché alimentaire,cliente Myriam,Produits locaux de très bonne qualité,"Produits locaux de très bonne qualité, je favorise la marche à pieds pour rejoindre le marché.",5,2025-05-01T21:24:42.000Z
Cagette.net,"4,8",137.0,"Bordeaux, France",Marché alimentaire,Christiane  Roelandt,Tous les produits sont bons et de…,"Tous les produits sont bons et de qualitéL’accueil est très convivial dans un joli environnementLes clients sont également agréables à fréquenter,c’est toujours un bon moment que de venir chercher son pain chez Sophie",5,2025-05-01T16:22:22.000Z
Cagette.net,"4,8",137.0,"Bordeaux, France",Marché alimentaire,cliente,Sav parfait et site bien construit,Sav parfait et site bien construit,5,2025-05-01T15:57:13.000Z
Cagette.net,"4,8",137.0,"Bordeaux, France",Marché alimentaire,Martine Watiau,Intérêt du cycle court,Intérêt du cycle court. Produits appréciés.,5,2025-05-01T15:12:58.000Z
Cagette.net,"4,8",137.0,"Bordeaux, France",Marché alimentaire,Hild Catherine,Tout est parfait les légumes,"Tout est parfait les légumes, les oeufs,les pickles que je prends régulièrement et le prix !!",5,2025-05-01T11:48:50.000Z
